k,n,metric,value,seqMode
4,11,"strongTree",433,"unary-cover-no-reassoc"
4,11,"cubicTree",821,"unary-cover-no-reassoc"
4,11,"sharedShapeStatePool",74,"unary-cover-no-reassoc"
4,11,"langContPruneShapeStatePool",27,"unary-cover-no-reassoc"
4,12,"strongTree",472,"unary-cover-no-reassoc"
4,12,"cubicTree",889,"unary-cover-no-reassoc"
4,12,"sharedShapeStatePool",77,"unary-cover-no-reassoc"
4,12,"langContPruneShapeStatePool",27,"unary-cover-no-reassoc"
4,13,"strongTree",470,"unary-cover-no-reassoc"
4,13,"cubicTree",889,"unary-cover-no-reassoc"
4,13,"sharedShapeStatePool",78,"unary-cover-no-reassoc"
4,13,"langContPruneShapeStatePool",27,"unary-cover-no-reassoc"
4,14,"strongTree",470,"unary-cover-no-reassoc"
4,14,"cubicTree",889,"unary-cover-no-reassoc"
4,14,"sharedShapeStatePool",79,"unary-cover-no-reassoc"
4,14,"langContPruneShapeStatePool",27,"unary-cover-no-reassoc"
4,15,"strongTree",474,"unary-cover-no-reassoc"
4,15,"cubicTree",889,"unary-cover-no-reassoc"
4,15,"sharedShapeStatePool",80,"unary-cover-no-reassoc"
4,15,"langContPruneShapeStatePool",27,"unary-cover-no-reassoc"
4,16,"strongTree",506,"unary-cover-no-reassoc"
4,16,"cubicTree",889,"unary-cover-no-reassoc"
4,16,"sharedShapeStatePool",81,"unary-cover-no-reassoc"
4,16,"langContPruneShapeStatePool",27,"unary-cover-no-reassoc"
4,17,"strongTree",502,"unary-cover-no-reassoc"
4,17,"cubicTree",889,"unary-cover-no-reassoc"
4,17,"sharedShapeStatePool",82,"unary-cover-no-reassoc"
4,17,"langContPruneShapeStatePool",27,"unary-cover-no-reassoc"
4,18,"strongTree",428,"unary-cover-no-reassoc"
4,18,"cubicTree",889,"unary-cover-no-reassoc"
4,18,"sharedShapeStatePool",83,"unary-cover-no-reassoc"
4,18,"langContPruneShapeStatePool",27,"unary-cover-no-reassoc"
4,19,"strongTree",430,"unary-cover-no-reassoc"
4,19,"cubicTree",889,"unary-cover-no-reassoc"
4,19,"sharedShapeStatePool",84,"unary-cover-no-reassoc"
4,19,"langContPruneShapeStatePool",27,"unary-cover-no-reassoc"
4,20,"strongTree",470,"unary-cover-no-reassoc"
