k,n,metric,value,seqMode
8,64,"strongMemoFinalActivePayloadDag",44,"unary-cover-no-reassoc"
8,64,"strongMemoFinalActiveKeyDag",25,"unary-cover-no-reassoc"
8,64,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,64,"strongMemoFinalActivePairBudget",65,"unary-cover-no-reassoc"
8,68,"strongMemoTree",3213,"unary-cover-no-reassoc"
8,68,"strongMemoFinalActiveRowDagUniverse",90,"unary-cover-no-reassoc"
8,68,"strongMemoFinalActiveComponentOwner",71,"unary-cover-no-reassoc"
8,68,"strongMemoFinalActivePayloadDag",44,"unary-cover-no-reassoc"
8,68,"strongMemoFinalActiveKeyDag",25,"unary-cover-no-reassoc"
8,68,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,68,"strongMemoFinalActivePairBudget",65,"unary-cover-no-reassoc"
8,72,"strongMemoTree",3241,"unary-cover-no-reassoc"
8,72,"strongMemoFinalActiveRowDagUniverse",91,"unary-cover-no-reassoc"
8,72,"strongMemoFinalActiveComponentOwner",71,"unary-cover-no-reassoc"
8,72,"strongMemoFinalActivePayloadDag",44,"unary-cover-no-reassoc"
8,72,"strongMemoFinalActiveKeyDag",25,"unary-cover-no-reassoc"
8,72,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,72,"strongMemoFinalActivePairBudget",65,"unary-cover-no-reassoc"
8,76,"strongMemoTree",3227,"unary-cover-no-reassoc"
8,76,"strongMemoFinalActiveRowDagUniverse",94,"unary-cover-no-reassoc"
8,76,"strongMemoFinalActiveComponentOwner",71,"unary-cover-no-reassoc"
8,76,"strongMemoFinalActivePayloadDag",44,"unary-cover-no-reassoc"
8,76,"strongMemoFinalActiveKeyDag",25,"unary-cover-no-reassoc"
8,76,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,76,"strongMemoFinalActivePairBudget",65,"unary-cover-no-reassoc"
8,80,"strongMemoTree",3233,"unary-cover-no-reassoc"
8,80,"strongMemoFinalActiveRowDagUniverse",91,"unary-cover-no-reassoc"
8,80,"strongMemoFinalActiveComponentOwner",71,"unary-cover-no-reassoc"
8,80,"strongMemoFinalActivePayloadDag",44,"unary-cover-no-reassoc"
8,80,"strongMemoFinalActiveKeyDag",25,"unary-cover-no-reassoc"
8,80,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,80,"strongMemoFinalActivePairBudget",65,"unary-cover-no-reassoc"
