k,n,metric,value,seqMode
5,116,"strongMemoTree",947,"unary-cover-no-reassoc"
5,116,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,116,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,116,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,116,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,116,"strongMemoStates",21526,"unary-cover-no-reassoc"
5,116,"strongMemoSplitProbes",280953,"unary-cover-no-reassoc"
5,116,"strongMemoSpanBound",629694,"unary-cover-no-reassoc"
5,116,"strongMemoSplitBound",73674198,"unary-cover-no-reassoc"
5,120,"strongMemoTree",957,"unary-cover-no-reassoc"
5,120,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,120,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,120,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,120,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,120,"strongMemoStates",22988,"unary-cover-no-reassoc"
5,120,"strongMemoSplitProbes",310241,"unary-cover-no-reassoc"
5,120,"strongMemoSpanBound",673486,"unary-cover-no-reassoc"
5,120,"strongMemoSplitBound",81491806,"unary-cover-no-reassoc"
5,124,"strongMemoTree",959,"unary-cover-no-reassoc"
5,124,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,124,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,124,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,124,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,124,"strongMemoStates",24498,"unary-cover-no-reassoc"
5,124,"strongMemoSplitProbes",341497,"unary-cover-no-reassoc"
5,124,"strongMemoSpanBound",718750,"unary-cover-no-reassoc"
5,124,"strongMemoSplitBound",89843750,"unary-cover-no-reassoc"
5,128,"strongMemoTree",947,"unary-cover-no-reassoc"
5,128,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,128,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,128,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,128,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,128,"strongMemoStates",26056,"unary-cover-no-reassoc"
5,128,"strongMemoSplitProbes",374785,"unary-cover-no-reassoc"
5,128,"strongMemoSpanBound",765486,"unary-cover-no-reassoc"
5,128,"strongMemoSplitBound",98747694,"unary-cover-no-reassoc"
5,132,"strongMemoTree",947,"unary-cover-no-reassoc"
5,132,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,132,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,132,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,132,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,132,"strongMemoStates",27662,"unary-cover-no-reassoc"
5,132,"strongMemoSplitProbes",410169,"unary-cover-no-reassoc"
5,132,"strongMemoSpanBound",813694,"unary-cover-no-reassoc"
5,132,"strongMemoSplitBound",108221302,"unary-cover-no-reassoc"
5,136,"strongMemoTree",947,"unary-cover-no-reassoc"
5,136,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,136,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,136,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,136,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,136,"strongMemoStates",29316,"unary-cover-no-reassoc"
5,136,"strongMemoSplitProbes",447713,"unary-cover-no-reassoc"
5,136,"strongMemoSpanBound",863374,"unary-cover-no-reassoc"
5,136,"strongMemoSplitBound",118282238,"unary-cover-no-reassoc"
5,140,"strongMemoTree",957,"unary-cover-no-reassoc"
5,140,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,140,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,140,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,140,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,140,"strongMemoStates",31018,"unary-cover-no-reassoc"
5,140,"strongMemoSplitProbes",487481,"unary-cover-no-reassoc"
5,140,"strongMemoSpanBound",914526,"unary-cover-no-reassoc"
5,140,"strongMemoSplitBound",128948166,"unary-cover-no-reassoc"
